Kategori,Isi
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 36.169.81.141 dengan API Key T3NE4ZMQCHHNI6R3E338 terdeteksi.
IT Security,Peringatan: Akses server via IP 230.90.131.154 dengan API Key SU250HE41ZATWIXNXGG0 terdeteksi.
HRD,Data Karyawan: Dewi Lestari (NIK: 2694365019871277) Gaji Rp 42jt.
IT Security,Peringatan: Akses server via IP 24.50.151.202 dengan API Key 9Z03SF1G6P6D0UCSQYAL terdeteksi.
IT Security,Peringatan: Akses server via IP 112.58.185.23 dengan API Key D9367NFRR5NN3SI53BX3 terdeteksi.
IT Security,Peringatan: Akses server via IP 67.78.117.60 dengan API Key G0995C3OXUUU1TT7K2V7 terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 231.71.126.238 dengan API Key 3BHM8VPQM5IGSM1CXMUT terdeteksi.
IT Security,Peringatan: Akses server via IP 114.212.18.100 dengan API Key I0WLYJZ5G7T20FBS81ML terdeteksi.
IT Security,Peringatan: Akses server via IP 9.232.60.189 dengan API Key 2VP1HSUJVX47J76WMZKM terdeteksi.
Keuangan,"Transfer Rp 20,000,000 ke Bank Mandiri rek 6324161083 a/n Ahmad Hidayat."
Keuangan,"Transfer Rp 26,000,000 ke Bank BRI rek 8620037176 a/n Budi Santoso."
IT Security,Peringatan: Akses server via IP 162.51.217.194 dengan API Key TDP4THB9OF4PQKLZFEUS terdeteksi.
Keuangan,"Transfer Rp 51,000,000 ke Bank BCA rek 7475004839 a/n Dewi Lestari."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Rizky Pratama (NIK: 9933207230988959) Gaji Rp 23jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Keuangan,"Transfer Rp 29,000,000 ke Bank BNI rek 2707981071 a/n Dewi Lestari."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Keuangan,"Transfer Rp 33,000,000 ke Bank BNI rek 3759522265 a/n Ahmad Hidayat."
HRD,Data Karyawan: Ahmad Hidayat (NIK: 4922312671432852) Gaji Rp 45jt.
HRD,Data Karyawan: Dewi Lestari (NIK: 0097042500942833) Gaji Rp 32jt.
Keuangan,"Transfer Rp 36,000,000 ke Bank BCA rek 3701556098 a/n Rizky Pratama."
IT Security,Peringatan: Akses server via IP 39.201.23.181 dengan API Key YUOB6R02M74XN72CY0HE terdeteksi.
IT Security,Peringatan: Akses server via IP 209.249.129.166 dengan API Key RUDMMQ377U8QE9HLIBI8 terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
IT Security,Peringatan: Akses server via IP 236.201.182.83 dengan API Key J9KT6P4OIUXT562CZQRV terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Keuangan,"Transfer Rp 81,000,000 ke Bank BNI rek 3923365538 a/n Siti Aminah."
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
HRD,Data Karyawan: Budi Santoso (NIK: 8710000605749926) Gaji Rp 6jt.
Keuangan,"Transfer Rp 49,000,000 ke Bank BCA rek 9579816504 a/n Dewi Lestari."
IT Security,Peringatan: Akses server via IP 84.61.70.12 dengan API Key RXZ5B136WQ3PCU9K55X3 terdeteksi.
HRD,Data Karyawan: Budi Santoso (NIK: 4257884719328567) Gaji Rp 37jt.
HRD,Data Karyawan: Rizky Pratama (NIK: 4915194021360938) Gaji Rp 25jt.
HRD,Data Karyawan: Rizky Pratama (NIK: 2389534334242017) Gaji Rp 43jt.
Keuangan,"Transfer Rp 35,000,000 ke Bank Mandiri rek 1308587786 a/n Ahmad Hidayat."
Keuangan,"Transfer Rp 70,000,000 ke Bank BNI rek 8682638152 a/n Dewi Lestari."
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 24.2.14.251 dengan API Key QUWDQZIL485IHGDWEGWI terdeteksi.
IT Security,Peringatan: Akses server via IP 88.173.79.91 dengan API Key BHJIBM1O4FNWI1MGUA3W terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Budi Santoso (NIK: 6243979362900709) Gaji Rp 49jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Keuangan,"Transfer Rp 45,000,000 ke Bank Mandiri rek 6944100023 a/n Siti Aminah."
HRD,Data Karyawan: Dewi Lestari (NIK: 9485071039351670) Gaji Rp 21jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
IT Security,Peringatan: Akses server via IP 85.155.165.127 dengan API Key GH6QHC0V55PKM0A7SPOR terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
IT Security,Peringatan: Akses server via IP 2.177.56.40 dengan API Key WMZ5A6YBPCET31IM5WKT terdeteksi.
HRD,Data Karyawan: Ahmad Hidayat (NIK: 3850882491602411) Gaji Rp 18jt.
IT Security,Peringatan: Akses server via IP 189.116.225.205 dengan API Key K7LEY0AHFB8TECOLNYSQ terdeteksi.
IT Security,Peringatan: Akses server via IP 213.36.50.155 dengan API Key FZ8AA0YT90X10U4K2434 terdeteksi.
HRD,Data Karyawan: Budi Santoso (NIK: 5314609940440837) Gaji Rp 31jt.
Keuangan,"Transfer Rp 75,000,000 ke Bank BCA rek 6040524102 a/n Budi Santoso."
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Keuangan,"Transfer Rp 56,000,000 ke Bank BCA rek 0592499753 a/n Budi Santoso."
HRD,Data Karyawan: Siti Aminah (NIK: 1451076385481397) Gaji Rp 11jt.
Keuangan,"Transfer Rp 64,000,000 ke Bank BRI rek 6757782483 a/n Dewi Lestari."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Siti Aminah (NIK: 4909459801637941) Gaji Rp 23jt.
IT Security,Peringatan: Akses server via IP 243.62.245.93 dengan API Key EC5ZD2V69DQ74P1L9C5K terdeteksi.
IT Security,Peringatan: Akses server via IP 50.238.19.24 dengan API Key ACTD9MHSV9CZ61TJAGQ7 terdeteksi.
IT Security,Peringatan: Akses server via IP 21.185.28.73 dengan API Key PA9BNGIQCLWOMVYJ8ZD9 terdeteksi.
Keuangan,"Transfer Rp 48,000,000 ke Bank BCA rek 5670541571 a/n Budi Santoso."
HRD,Data Karyawan: Dewi Lestari (NIK: 2809103905649235) Gaji Rp 15jt.
HRD,Data Karyawan: Ahmad Hidayat (NIK: 2390288482851879) Gaji Rp 24jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 72.82.82.95 dengan API Key CGZMBPPR2WD3C6GEFE51 terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Dewi Lestari (NIK: 8004909853185684) Gaji Rp 13jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 33.35.93.67 dengan API Key 08MJCV08N5ANH82YK6CJ terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Keuangan,"Transfer Rp 47,000,000 ke Bank BNI rek 6562812018 a/n Ahmad Hidayat."
IT Security,Peringatan: Akses server via IP 186.243.253.245 dengan API Key 7YFU41LRZMTRK86H3L1C terdeteksi.
IT Security,Peringatan: Akses server via IP 120.74.116.251 dengan API Key HWBQ7TJDUEMDMGZPCIQD terdeteksi.
IT Security,Peringatan: Akses server via IP 182.254.38.8 dengan API Key LHRLZCYD5D6UIQ14B0K1 terdeteksi.
IT Security,Peringatan: Akses server via IP 204.119.192.170 dengan API Key JPZ68VKZ3PNS891HRZZM terdeteksi.
IT Security,Peringatan: Akses server via IP 224.61.138.196 dengan API Key 3HDV7DPLFRSNXDO8UY4F terdeteksi.
HRD,Data Karyawan: Ahmad Hidayat (NIK: 8412660529406003) Gaji Rp 23jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 191.202.151.255 dengan API Key P8AIFQXU8BQE1HH74LIF terdeteksi.
IT Security,Peringatan: Akses server via IP 18.80.76.146 dengan API Key HPVOJYU1M829L3ZYM0TB terdeteksi.
Keuangan,"Transfer Rp 48,000,000 ke Bank Mandiri rek 1801876253 a/n Siti Aminah."
HRD,Data Karyawan: Rizky Pratama (NIK: 5452535826232045) Gaji Rp 36jt.
IT Security,Peringatan: Akses server via IP 125.170.70.166 dengan API Key MNHOI89SU3S7ZXRN0HER terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Budi Santoso (NIK: 3693827096612588) Gaji Rp 39jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Keuangan,"Transfer Rp 63,000,000 ke Bank BRI rek 4502730926 a/n Ahmad Hidayat."
Keuangan,"Transfer Rp 8,000,000 ke Bank BCA rek 6520914880 a/n Budi Santoso."
HRD,Data Karyawan: Dewi Lestari (NIK: 0557051301094869) Gaji Rp 42jt.
Keuangan,"Transfer Rp 6,000,000 ke Bank Mandiri rek 8963201630 a/n Dewi Lestari."
HRD,Data Karyawan: Siti Aminah (NIK: 5948349464507171) Gaji Rp 15jt.
Keuangan,"Transfer Rp 64,000,000 ke Bank BRI rek 5124820089 a/n Rizky Pratama."
HRD,Data Karyawan: Budi Santoso (NIK: 2770895705837365) Gaji Rp 38jt.
IT Security,Peringatan: Akses server via IP 177.191.212.85 dengan API Key JAR5TUYGOZQGJD44PX9Y terdeteksi.
HRD,Data Karyawan: Siti Aminah (NIK: 5303051093293944) Gaji Rp 43jt.
IT Security,Peringatan: Akses server via IP 182.32.106.242 dengan API Key 4Q148NLWYN8HMEODW1KP terdeteksi.
IT Security,Peringatan: Akses server via IP 253.35.168.236 dengan API Key 0GCW9H35FGFV8AV6GKNH terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Keuangan,"Transfer Rp 11,000,000 ke Bank BNI rek 3728982662 a/n Budi Santoso."
Keuangan,"Transfer Rp 95,000,000 ke Bank BNI rek 3273833461 a/n Ahmad Hidayat."
HRD,Data Karyawan: Dewi Lestari (NIK: 9707505341195684) Gaji Rp 50jt.
HRD,Data Karyawan: Budi Santoso (NIK: 4133474626855836) Gaji Rp 34jt.
HRD,Data Karyawan: Siti Aminah (NIK: 7577313474324426) Gaji Rp 22jt.
HRD,Data Karyawan: Budi Santoso (NIK: 2797523979942609) Gaji Rp 48jt.
Keuangan,"Transfer Rp 65,000,000 ke Bank Mandiri rek 1756142322 a/n Rizky Pratama."
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Keuangan,"Transfer Rp 90,000,000 ke Bank BCA rek 9220389650 a/n Siti Aminah."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 215.123.203.5 dengan API Key 3RFUDWES18N33LBNSVS2 terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
HRD,Data Karyawan: Rizky Pratama (NIK: 6746646706693904) Gaji Rp 41jt.
IT Security,Peringatan: Akses server via IP 74.46.152.89 dengan API Key DTUT0V2ZI3I0Q6AH4P4W terdeteksi.
IT Security,Peringatan: Akses server via IP 10.194.79.18 dengan API Key JKIOT4L4DFN8LS2HLGZ5 terdeteksi.
Keuangan,"Transfer Rp 25,000,000 ke Bank BNI rek 2806323666 a/n Siti Aminah."
Keuangan,"Transfer Rp 25,000,000 ke Bank BRI rek 7759563784 a/n Siti Aminah."
IT Security,Peringatan: Akses server via IP 245.72.16.101 dengan API Key SLDO6LDRHG0P5MCO08AX terdeteksi.
HRD,Data Karyawan: Siti Aminah (NIK: 0181453054166396) Gaji Rp 29jt.
HRD,Data Karyawan: Rizky Pratama (NIK: 4987154544194311) Gaji Rp 39jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Keuangan,"Transfer Rp 7,000,000 ke Bank Mandiri rek 0509880845 a/n Siti Aminah."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Ahmad Hidayat (NIK: 6204232336956969) Gaji Rp 35jt.
Keuangan,"Transfer Rp 68,000,000 ke Bank Mandiri rek 4226205234 a/n Budi Santoso."
HRD,Data Karyawan: Dewi Lestari (NIK: 4714508215464083) Gaji Rp 12jt.
HRD,Data Karyawan: Rizky Pratama (NIK: 0955478685529082) Gaji Rp 19jt.
IT Security,Peringatan: Akses server via IP 173.225.145.159 dengan API Key SCF35OE46F8LSN11OPF1 terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
HRD,Data Karyawan: Ahmad Hidayat (NIK: 4912055355079623) Gaji Rp 26jt.
HRD,Data Karyawan: Rizky Pratama (NIK: 4017908454673416) Gaji Rp 32jt.
IT Security,Peringatan: Akses server via IP 47.71.196.237 dengan API Key B5G4XSH38H5PVH94HUTJ terdeteksi.
Keuangan,"Transfer Rp 53,000,000 ke Bank BNI rek 8459386361 a/n Dewi Lestari."
HRD,Data Karyawan: Ahmad Hidayat (NIK: 9818375520080748) Gaji Rp 40jt.
HRD,Data Karyawan: Rizky Pratama (NIK: 6305494101653368) Gaji Rp 41jt.
IT Security,Peringatan: Akses server via IP 250.51.177.201 dengan API Key UMPJ2RUTGLCU6B21FUA8 terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
IT Security,Peringatan: Akses server via IP 138.229.52.229 dengan API Key NX77ONO9MWBULS6HUXEF terdeteksi.
HRD,Data Karyawan: Dewi Lestari (NIK: 2022588605267599) Gaji Rp 30jt.
HRD,Data Karyawan: Ahmad Hidayat (NIK: 5266401644216176) Gaji Rp 16jt.
HRD,Data Karyawan: Dewi Lestari (NIK: 5247490976027064) Gaji Rp 12jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
HRD,Data Karyawan: Ahmad Hidayat (NIK: 4963675255561965) Gaji Rp 43jt.
Keuangan,"Transfer Rp 21,000,000 ke Bank BRI rek 3279620700 a/n Budi Santoso."
Keuangan,"Transfer Rp 18,000,000 ke Bank BNI rek 8979226408 a/n Budi Santoso."
IT Security,Peringatan: Akses server via IP 214.90.69.227 dengan API Key 3FHAHLX90WHM653Q4SUI terdeteksi.
HRD,Data Karyawan: Rizky Pratama (NIK: 0330013353360731) Gaji Rp 49jt.
HRD,Data Karyawan: Rizky Pratama (NIK: 7933316020937860) Gaji Rp 13jt.
HRD,Data Karyawan: Siti Aminah (NIK: 9259047407508167) Gaji Rp 8jt.
IT Security,Peringatan: Akses server via IP 63.147.3.6 dengan API Key Q2IWWHPJFETKPBEOX9B8 terdeteksi.
IT Security,Peringatan: Akses server via IP 21.113.47.54 dengan API Key 1EG83T8BU6TTWEKL52JC terdeteksi.
IT Security,Peringatan: Akses server via IP 32.63.39.132 dengan API Key 0L1HJ1DHP1K5TC44DXV3 terdeteksi.
IT Security,Peringatan: Akses server via IP 46.202.155.219 dengan API Key J0M50HCS005EUQYD0UFA terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Keuangan,"Transfer Rp 57,000,000 ke Bank Mandiri rek 2231683380 a/n Rizky Pratama."
HRD,Data Karyawan: Siti Aminah (NIK: 0184275246701387) Gaji Rp 25jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
IT Security,Peringatan: Akses server via IP 119.17.140.238 dengan API Key J98KI6ZVI7J0APHLD4JM terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Dewi Lestari (NIK: 9297279648095795) Gaji Rp 37jt.
Keuangan,"Transfer Rp 23,000,000 ke Bank Mandiri rek 4703341043 a/n Budi Santoso."
HRD,Data Karyawan: Siti Aminah (NIK: 9950314917862547) Gaji Rp 34jt.
Keuangan,"Transfer Rp 3,000,000 ke Bank BNI rek 0475371850 a/n Siti Aminah."
HRD,Data Karyawan: Siti Aminah (NIK: 6143548825502914) Gaji Rp 20jt.
Keuangan,"Transfer Rp 15,000,000 ke Bank BRI rek 7343888727 a/n Budi Santoso."
IT Security,Peringatan: Akses server via IP 81.20.4.233 dengan API Key 58IJ2WWNMIQAHV30N8RJ terdeteksi.
HRD,Data Karyawan: Budi Santoso (NIK: 7198865222096330) Gaji Rp 12jt.
IT Security,Peringatan: Akses server via IP 255.230.167.150 dengan API Key X1KD5YO38XFU8OLJZM48 terdeteksi.
Keuangan,"Transfer Rp 64,000,000 ke Bank Mandiri rek 4158162793 a/n Dewi Lestari."
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Keuangan,"Transfer Rp 12,000,000 ke Bank BCA rek 1042745965 a/n Rizky Pratama."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Keuangan,"Transfer Rp 7,000,000 ke Bank Mandiri rek 5437001807 a/n Siti Aminah."
HRD,Data Karyawan: Budi Santoso (NIK: 7575874551250614) Gaji Rp 16jt.
HRD,Data Karyawan: Rizky Pratama (NIK: 3211532873667625) Gaji Rp 14jt.
IT Security,Peringatan: Akses server via IP 25.64.15.91 dengan API Key 4QFSCMAPOHWH3JXYECHB terdeteksi.
Keuangan,"Transfer Rp 52,000,000 ke Bank BCA rek 3816255619 a/n Dewi Lestari."
Keuangan,"Transfer Rp 48,000,000 ke Bank Mandiri rek 3062558360 a/n Dewi Lestari."
HRD,Data Karyawan: Budi Santoso (NIK: 1922962814495034) Gaji Rp 36jt.
Keuangan,"Transfer Rp 31,000,000 ke Bank BNI rek 5687555439 a/n Dewi Lestari."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Siti Aminah (NIK: 2851961918061997) Gaji Rp 35jt.
IT Security,Peringatan: Akses server via IP 231.159.221.181 dengan API Key TUDS7YLTY5N4SHYBF3WE terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
HRD,Data Karyawan: Dewi Lestari (NIK: 8800526592573799) Gaji Rp 27jt.
IT Security,Peringatan: Akses server via IP 137.154.77.92 dengan API Key FLCXRFOKKEKPSC636GK3 terdeteksi.
Keuangan,"Transfer Rp 91,000,000 ke Bank BRI rek 3369327003 a/n Budi Santoso."
HRD,Data Karyawan: Rizky Pratama (NIK: 4667270379730508) Gaji Rp 21jt.
HRD,Data Karyawan: Dewi Lestari (NIK: 2791654594134594) Gaji Rp 9jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
IT Security,Peringatan: Akses server via IP 191.198.182.161 dengan API Key KSDIXGNKVNOH9CCAECX3 terdeteksi.
IT Security,Peringatan: Akses server via IP 174.13.67.70 dengan API Key 9LC2CFIM2HH8ECRI1ZQL terdeteksi.
Keuangan,"Transfer Rp 16,000,000 ke Bank BNI rek 1650501215 a/n Siti Aminah."
HRD,Data Karyawan: Dewi Lestari (NIK: 5788934618607695) Gaji Rp 26jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 112.135.13.207 dengan API Key GASF8AFOIR3INTA30H3W terdeteksi.
HRD,Data Karyawan: Budi Santoso (NIK: 5757780230095606) Gaji Rp 31jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Budi Santoso (NIK: 6479711632567096) Gaji Rp 22jt.
HRD,Data Karyawan: Ahmad Hidayat (NIK: 6603085801798748) Gaji Rp 19jt.
IT Security,Peringatan: Akses server via IP 135.230.168.101 dengan API Key JZKR0OWLK51M3SVGJMLC terdeteksi.
IT Security,Peringatan: Akses server via IP 160.230.22.140 dengan API Key T41YK4KB087T94I743B3 terdeteksi.
IT Security,Peringatan: Akses server via IP 13.88.255.184 dengan API Key Q7QSD45U9TNDO3XYG6ED terdeteksi.
HRD,Data Karyawan: Budi Santoso (NIK: 4659127306489939) Gaji Rp 37jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Siti Aminah (NIK: 3812264888941189) Gaji Rp 31jt.
IT Security,Peringatan: Akses server via IP 116.57.1.152 dengan API Key BOUPEC9JGA1MCCHLIV4Z terdeteksi.
HRD,Data Karyawan: Ahmad Hidayat (NIK: 1517616974053598) Gaji Rp 17jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 163.196.137.254 dengan API Key O95AFZZBNV3TAHQZDJ3W terdeteksi.
Keuangan,"Transfer Rp 32,000,000 ke Bank Mandiri rek 2799433763 a/n Rizky Pratama."
IT Security,Peringatan: Akses server via IP 206.251.6.49 dengan API Key MMLM3K7XNLNPVJ2B4P4K terdeteksi.
HRD,Data Karyawan: Siti Aminah (NIK: 7422497035934746) Gaji Rp 21jt.
HRD,Data Karyawan: Siti Aminah (NIK: 9268103491245716) Gaji Rp 36jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
IT Security,Peringatan: Akses server via IP 127.188.253.216 dengan API Key CB2ONTF3LGPBVPOTE940 terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Keuangan,"Transfer Rp 83,000,000 ke Bank BCA rek 2691519405 a/n Budi Santoso."
IT Security,Peringatan: Akses server via IP 238.45.10.128 dengan API Key FMAL3Z7EQ4WHZPMQVLAD terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Rizky Pratama (NIK: 0465789878772108) Gaji Rp 7jt.
Keuangan,"Transfer Rp 98,000,000 ke Bank BNI rek 9214912048 a/n Siti Aminah."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Siti Aminah (NIK: 5925713325328547) Gaji Rp 36jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
HRD,Data Karyawan: Dewi Lestari (NIK: 3204601884791307) Gaji Rp 38jt.
Keuangan,"Transfer Rp 17,000,000 ke Bank Mandiri rek 2993356053 a/n Dewi Lestari."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Siti Aminah (NIK: 1988654475580465) Gaji Rp 27jt.
Keuangan,"Transfer Rp 51,000,000 ke Bank Mandiri rek 0510987993 a/n Rizky Pratama."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
HRD,Data Karyawan: Siti Aminah (NIK: 2540761285106107) Gaji Rp 40jt.
IT Security,Peringatan: Akses server via IP 250.198.157.161 dengan API Key 0I2XO0U0VVRANROR6EU7 terdeteksi.
IT Security,Peringatan: Akses server via IP 83.138.161.255 dengan API Key 86OYLIX19TMXL6HCIDNY terdeteksi.
Keuangan,"Transfer Rp 19,000,000 ke Bank BNI rek 8231083293 a/n Ahmad Hidayat."
HRD,Data Karyawan: Budi Santoso (NIK: 4130045172106468) Gaji Rp 20jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
IT Security,Peringatan: Akses server via IP 39.190.55.101 dengan API Key JWK86RK9LEMZF82XQGBI terdeteksi.
Keuangan,"Transfer Rp 100,000,000 ke Bank Mandiri rek 9599927690 a/n Dewi Lestari."
Keuangan,"Transfer Rp 98,000,000 ke Bank BRI rek 6483267713 a/n Rizky Pratama."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
Keuangan,"Transfer Rp 96,000,000 ke Bank BNI rek 9993622875 a/n Siti Aminah."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
